2023,Sean,,Agbor-Enoh,"['NIH, National Heart, Lung, and Blood Institute (NHLBI)']",['Pulmonology'],,['ASCI']
2023,Olujimi,,Ajijola,"['University of California, Los Angeles, David Geffen School of Medicine']","['Cardiovascular Medicine', 'Neuroscience', 'Physiology']",,['ASCI']
2023,Sandra,,Amaral,"[""Children's Hospital of Philadelphia""]",['Pediatrics'],,['ASCI']
2023,Fotis,,Asimakopoulos,"['University of California, San Diego, School of Medicine']","['Bone marrow transplantation', 'Cancer biology', 'Clinical research', 'Hematology', 'Immunology', 'Medical Oncology', 'Vaccines']",,['ASCI']
2023,Megan,,Baldridge,['Washington University School of Medicine in St. Louis'],['Medicine'],,['ASCI']
2023,Katharine,,Bar,['University of Pennsylvania Perelman School of Medicine'],['Internal Medicine'],,['ASCI']
2023,Nora,,Barrett,"['Harvard Medical School, Brigham & Women’s Hospital']",['Allergy'],,['ASCI']
2023,Surya,,Bhatt,['University of Alabama at Birmingham School of Medicine'],"['Critical Care Medicine', 'Pulmonology']",,['ASCI']
2023,Gerald,,Bloomfield,['Duke University School of Medicine'],"['Cardiovascular Disease', 'Cardiovascular Medicine']",,['ASCI']
2023,Leonardo,,Bonilha,['University of South Carolina School of Medicine'],['Neurology'],,['ASCI']
2023,Evan,,Brittain,['Vanderbilt University School of Medicine'],['Cardiovascular Medicine'],,['ASCI']
2023,Jonathan,,Bromberg,['University of Maryland School of Medicine'],['Pubmed'],,['ASCI']
2023,Irina,,Burd,['University of Maryland School of Medicine'],['Obstetrics and gynecology'],,['ASCI']
2023,Tara,,Chang,['Stanford University School of Medicine'],"['Clinical research', 'Clinical trials', 'Epidemiology', 'Hypertension', 'Nephrology']",,['ASCI']
2023,Michael,,Cho,"['Harvard Medical School, Brigham & Women’s Hospital']","['Critical Care Medicine', 'Genetics', 'Genomics', 'Medicine', 'Pulmonology']",,['ASCI']
2023,Eugenio,,Cingolani,['Cedars-Sinai Medical Center'],['Cardiology'],,['ASCI']
2023,Megan,,Cooper,['Washington University School of Medicine in St. Louis'],"['Immunology', 'Pediatrics', 'Rheumatology']",,['ASCI']
2023,Corey,,Cutler,"['Harvard Medical School, Dana-Farber Cancer Institute']","['Bone marrow transplantation', 'Hematology']",,['ASCI']
2023,Brian,,DeBosch,['Washington University School of Medicine in St. Louis'],['Pediatrics'],,['ASCI']
2023,Courtney,,DiNardo,['University of Texas MD Anderson Cancer Center'],['Hematology'],,['ASCI']
2023,Taylor,,Doherty,"['University of California, San Diego, School of Medicine']","['Allergy', 'Immunology', 'Medicine']",,['ASCI']
2023,Sara,,Espinoza,['Cedars-Sinai Medical Center'],"['Aging', 'Clinical research', 'Clinical trials', 'Geriatrics', 'Internal Medicine']",,['ASCI']
2023,Ryan,,Fields,['Washington University School of Medicine in St. Louis'],['Surgical oncology'],,['ASCI']
2023,Birgit,,Frauscher,"['Montreal Neurological Institute and Hospital, McGill University']",['Neurology'],,['ASCI']
2023,Elaine,,Fuchs,['The Rockefeller University'],['Pubmed'],,['ASCI']
2023,Neel,,Gandhi,['Emory University School of Medicine'],['Internal Medicine'],,['ASCI']
2023,Jose,,Garcia,['University of Washington School of Medicine'],"['Aging', 'Clinical trials', 'Diabetes', 'Endocrinology', 'Internal Medicine', 'Metabolism']",,['ASCI']
2023,Luis,,Garza,['Johns Hopkins University School of Medicine'],['Dermatology'],,['ASCI']
2023,Julie,,Goodwin,['Yale School of Medicine'],['Pediatrics'],,['ASCI']
2023,Magdalena,,Gorska,['National Jewish Health'],"['Allergy', 'Immunology']",,['ASCI']
2023,Cynthia,,Gyamfi-Bannerman,"['University of California, San Diego, School of Medicine']",['Obstetrics and gynecology'],,['ASCI']
2023,Jessica,,Haberer,"['Harvard Medical School, Massachusetts General Hospital']",['Internal Medicine'],,['ASCI']
2023,Aaron,,Hata,"['Harvard Medical School, Massachusetts General Hospital']",['Medicine'],,['ASCI']
2023,Ya-Chi,,Ho,['Yale School of Medicine'],['Infectious Disease'],,['ASCI']
2023,Lesley,,Inker,['Tufts Medical Center'],['Medicine'],,['ASCI']
2023,Benjamin,,Izar,['Columbia University Vagelos College of Physicians and Surgeons'],['Internal Medicine'],,['ASCI']
2023,Sanjay,,Jain,['Johns Hopkins University School of Medicine'],['Pediatrics'],,['ASCI']
2023,Aaron,,James,['Johns Hopkins University School of Medicine'],['Pathology'],,['ASCI']
2023,Yelena,,Janjigian,['Memorial Sloan Kettering Cancer Center'],['Medical Oncology'],,['ASCI']
2023,Babak,,Javid,"['University of California, San Francisco, School of Medicine']",['Infectious Disease'],,['ASCI']
2023,Joshua,,Joseph,['Ohio State University College of Medicine'],['Endocrinology'],,['ASCI']
2023,Karen,,Maddox,['Washington University School of Medicine in St. Louis'],['Internal Medicine'],,['ASCI']
2023,Dinesh,,Khanna,['University of Michigan Medical School'],['Internal Medicine'],,['ASCI']
